id_hecho,federal,tipo_persona,tipo_persona_id,provincia_id,provincia_nombre,departamento_id,departamento_nombre,localidad_id,localidad_nombre,latitud,longitud,anio,mes,fecha_hecho,hora_hecho,calle_nombre,calle_altura,calle_interseccion,calle_interseccion_nombre,semaforo_estado,tipo_lugar,modo_produccion_hecho,modo_produccion_hecho_ampliada,modo_produccion_hecho_otro,clima_condicion,clima_otro,motivo_origen_registro,motivo_origen_registro_otro,victima_sexo,victima_tr_edad,victima_18_años_o_mas,victima_clase,victima_clase_otro,victima_vehiculo,victima_vehiculo_ampliado,victima_vehiculo_otro,victima_identidad_genero,inculpado_sexo,inculpado_tr_edad,inculpado_18_años_o_mas,inculpado_vehiculo,inculpado_vehiculo_ampliado,inculpado_vehiculo_otro,inculpado_identidad_genero
13075,No,Imputado,Imputado idRegistro 13483,58,Neuquén,58035,Confluencia,70,Neuquén,-39,-68,2017,1,05-01-17,8:30,RUTA PROVINCIAL 7,,Sí,EX PEAJE,Sin semáforo,Ruta Provincial,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Bueno,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,25.0-29,Sí,Camioneta,Camioneta,,Varón
13075,No,Víctima,Víctima idRegistro 16629,58,Neuquén,58035,Confluencia,70,Neuquén,-39,-68,2017,1,05-01-17,8:30,RUTA PROVINCIAL 7,,Sí,EX PEAJE,Sin semáforo,Ruta Provincial,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Bueno,,Intervención policial,,Masculino,30.0-34,No corresponde,Pasajero,,Camioneta,Camioneta,Camioneta,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13076,No,Imputado,Imputado idRegistro 13484,58,Neuquén,58035,Confluencia,70,Neuquén,-39,-68,2017,1,01-27-17,19:36,PICUN LEUFU,,Sí,REPUBLICA DE ITALIA,Sin semáforo,Calle,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Bueno,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Femenino,30.0-34,Sí,Automóvil,Automóvil,,Mujer
13076,No,Imputado,Imputado idRegistro 13485,58,Neuquén,58035,Confluencia,70,Neuquén,-39,-68,2017,1,01-27-17,19:36,PICUN LEUFU,,Sí,REPUBLICA DE ITALIA,Sin semáforo,Calle,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Bueno,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,35.0-39,Sí,Automóvil,Automóvil,,Varón
13076,No,Víctima,Víctima idRegistro 16630,58,Neuquén,58035,Confluencia,70,Neuquén,-39,-68,2017,1,01-27-17,19:36,PICUN LEUFU,,Sí,REPUBLICA DE ITALIA,Sin semáforo,Calle,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Bueno,,Intervención policial,,Masculino,20.0-24,No corresponde,Conductor,,Motocicleta,Motocicleta,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13077,No,Imputado,Imputado idRegistro 13486,58,Neuquén,58035,Confluencia,90,Plaza Huincul,-39,-69,2017,1,01-20-17,13:59,RUTA PROVINCIAL 17,25,No,,Sin semáforo,Ruta Provincial,Vuelco-Despistes,Vuelco-despistes,,Bueno,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Sin determinar,Sin determinar,Sí,Sin determinar,Sin determinar,,Sin determinar
13077,No,Víctima,Víctima idRegistro 16631,58,Neuquén,58035,Confluencia,90,Plaza Huincul,-39,-69,2017,1,01-20-17,13:59,RUTA PROVINCIAL 17,25,No,,Sin semáforo,Ruta Provincial,Vuelco-Despistes,Vuelco-despistes,,Bueno,,Intervención policial,,Masculino,40.0-44,No corresponde,Acompañante,,Camión,Camión,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13078,No,Imputado,Imputado idRegistro 13487,58,Neuquén,58035,Confluencia,90,Plaza Huincul,-39,-69,2017,1,01-24-17,19:00,PERNISEK,,Sí,13 DE DICIEMBRE,Sin semáforo,Calle,Otro,Caída del ocupante,Caída del vehículo en movimiento,Bueno,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Sin determinar,Sin determinar,Sí,Sin determinar,Sin determinar,,Sin determinar
13078,No,Víctima,Víctima idRegistro 16632,58,Neuquén,58035,Confluencia,90,Plaza Huincul,-39,-69,2017,1,01-24-17,19:00,PERNISEK,,Sí,13 DE DICIEMBRE,Sin semáforo,Calle,Otro,Caída del ocupante,Caída del vehículo en movimiento,Bueno,,Intervención policial,,Masculino,45.0-49,No corresponde,Pasajero,,Colectivo,Colectivo,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13087,No,Imputado,Imputado idRegistro 13496,66,Salta,66126,Orán,40,Hipólito Yrigoyen (Est. Tabacal),,,2017,1,01-01-17,4:00,RUTA NACIONAL N° 50,,Sí,KM 13 ALTURA LOTEO SARITA,Sin determinar,Ruta Nacional,Colisión vehículo-persona,Colisión vehículo-persona,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,30.0-34,Sí,Automóvil,Automóvil,,Varón
13087,No,Víctima,Víctima idRegistro 16641,66,Salta,66126,Orán,40,Hipólito Yrigoyen (Est. Tabacal),,,2017,1,01-01-17,4:00,RUTA NACIONAL N° 50,,Sí,KM 13 ALTURA LOTEO SARITA,Sin determinar,Ruta Nacional,Colisión vehículo-persona,Colisión vehículo-persona,,Sin determinar,,Intervención policial,,Masculino,30.0-34,No corresponde,Peatón,,No corresponde,Sin vehiculo,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13088,No,Imputado,Imputado idRegistro 13497,66,Salta,66112,Metán,70,Río Piedras,-25,-65,2017,1,05-01-17,18:29,RUTA NACIONAL 9/34,,Sí,KM 1487,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,40.0-44,Sí,Camión,Camión,,Varón
13088,No,Víctima,Víctima idRegistro 16642,66,Salta,66112,Metán,70,Río Piedras,-25,-65,2017,1,05-01-17,18:29,RUTA NACIONAL 9/34,,Sí,KM 1487,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Masculino,35.0-39,No corresponde,Conductor,,Automóvil,Automóvil,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13089,No,Imputado,Imputado idRegistro 13498,66,Salta,66028,Capital,50,Salta,-25,-65,2017,1,02-01-17,13:36,CALLE ALBERDI,,Sí,JOAQUIN CASTELLANO,Sin determinar,Calle,Colisión vehículo-persona,Colisión vehículo-persona,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,45.0-49,Sí,Motocicleta,Motocicleta,,Varón
13089,No,Víctima,Víctima idRegistro 16643,66,Salta,66028,Capital,50,Salta,-25,-65,2017,1,02-01-17,13:36,CALLE ALBERDI,,Sí,JOAQUIN CASTELLANO,Sin determinar,Calle,Colisión vehículo-persona,Colisión vehículo-persona,,Sin determinar,,Intervención policial,,Masculino,80.0-84,No corresponde,Peatón,,No corresponde,Sin vehiculo,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13090,No,Imputado,Imputado idRegistro 13500,66,Salta,66084,La Candelaria,20,El Tala (Est. Ruiz de los Llanos),-26,-65,2017,1,10-01-17,12:29,RUTA NACIONAL 9/34,,Sí,KM 1385,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,50.0-54,Sí,Colectivo,Colectivo,,Varón
13090,No,Víctima,Víctima idRegistro 16645,66,Salta,66084,La Candelaria,20,El Tala (Est. Ruiz de los Llanos),-26,-65,2017,1,10-01-17,12:29,RUTA NACIONAL 9/34,,Sí,KM 1385,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Masculino,70.0-74,No corresponde,Conductor,,Automóvil,Automóvil,,Varón,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13091,No,Imputado,Imputado idRegistro 13501,66,Salta,66021,Cafayate,10,Cafayate,,,2017,1,01-14-17,1:56,RUTA NACIONAL N° 40,,Sí,KM 4330,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,20.0-24,Sí,Automóvil,Automóvil,,Varón
13091,No,Víctima,Víctima idRegistro 16646,66,Salta,66021,Cafayate,10,Cafayate,,,2017,1,01-14-17,1:56,RUTA NACIONAL N° 40,,Sí,KM 4330,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,Femenino,15.0-19,No corresponde,Acompañante,,Automóvil,Automóvil,,Mujer,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde
13092,No,Imputado,Imputado idRegistro 13502,66,Salta,66056,Grl. José de San Martín,220,Tartagal,-23,-64,2017,1,01-15-17,6:45,RUTA NACIONAL N° 34,,Sí,ALTURA VIRGEN DE LA PEÑA,Sin determinar,Ruta Nacional,Colisión vehículo-vehículo,Colisión vehículo-vehículo,,Sin determinar,,Intervención policial,,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,-----,,No corresponde,Masculino,35.0-39,Sí,Automóvil,Automóvil,,Varón
